Year,QTR,Region,Crown_Court_Centre,REC_TYPE_pub,newofftype_pub,ho_code,N_receipts,N_receipts_Exc_BW,N_outstanding
2017,3,London,Blackfriars,1. CT (TEW),01. Violence against the person,00301,2,2,
2017,3,London,Blackfriars,1. CT (TEW),01. Violence against the person,00501,3,3,
2017,3,London,Blackfriars,1. CT (TEW),01. Violence against the person,00801,4,4,
2017,3,London,Blackfriars,1. CT (TEW),01. Violence against the person,00806,9,9,
2017,3,London,Blackfriars,1. CT (TEW),01. Violence against the person,00831,5,5,
2017,3,London,Blackfriars,1. CT (TEW),01. Violence against the person,00857,2,2,
2017,3,London,Blackfriars,1. CT (TEW),01. Violence against the person,01103,2,2,
2017,3,London,Blackfriars,1. CT (TEW),01. Violence against the person,03606,1,1,
2017,3,London,Blackfriars,1. CT (TEW),02. Sexual offences,01715,1,1,
2017,3,London,Blackfriars,1. CT (TEW),02. Sexual offences,01907,3,3,
2017,3,London,Blackfriars,1. CT (TEW),02. Sexual offences,01916,0,0,
2017,3,London,Blackfriars,1. CT (TEW),02. Sexual offences,02005,8,8,
2017,3,London,Blackfriars,1. CT (TEW),02. Sexual offences,02006,3,3,
2017,3,London,Blackfriars,1. CT (TEW),02. Sexual offences,02108,1,1,
2017,3,London,Blackfriars,1. CT (TEW),02. Sexual offences,08809,1,1,
2017,3,London,Blackfriars,1. CT (TEW),04. Theft Offences,02803,6,6,
2017,3,London,Blackfriars,1. CT (TEW),04. Theft Offences,03002,4,4,
2017,3,London,Blackfriars,1. CT (TEW),04. Theft Offences,03900,3,3,
2017,3,London,Blackfriars,1. CT (TEW),04. Theft Offences,04000,1,1,
2017,3,London,Blackfriars,1. CT (TEW),04. Theft Offences,04100,1,1,
2017,3,London,Blackfriars,1. CT (TEW),04. Theft Offences,04510,1,1,
2017,3,London,Blackfriars,1. CT (TEW),04. Theft Offences,04910,2,2,
2017,3,London,Blackfriars,1. CT (TEW),05. Criminal damage and arson,05804,0,0,
2017,3,London,Blackfriars,1. CT (TEW),05. Criminal damage and arson,05805,-1,-1,
2017,3,London,Blackfriars,1. CT (TEW),06. Drug offences,09221,1,1,
2017,3,London,Blackfriars,1. CT (TEW),06. Drug offences,09225,1,1,
2017,3,London,Blackfriars,1. CT (TEW),06. Drug offences,09233,1,1,
2017,3,London,Blackfriars,1. CT (TEW),06. Drug offences,09239,1,1,
2017,3,London,Blackfriars,1. CT (TEW),06. Drug offences,09250,1,1,
2017,3,London,Blackfriars,1. CT (TEW),06. Drug offences,09261,1,1,
2017,3,London,Blackfriars,1. CT (TEW),06. Drug offences,09270,6,6,
2017,3,London,Blackfriars,1. CT (TEW),06. Drug offences,09271,1,1,
2017,3,London,Blackfriars,1. CT (TEW),06. Drug offences,09273,1,1,
2017,3,London,Blackfriars,1. CT (TEW),06. Drug offences,09281,2,2,
2017,3,London,Blackfriars,1. CT (TEW),06. Drug offences,09362,1,1,
2017,3,London,Blackfriars,1. CT (TEW),07. Possession of weapons,00811,4,4,
2017,3,London,Blackfriars,1. CT (TEW),07. Possession of weapons,00826,8,8,
2017,3,London,Blackfriars,1. CT (TEW),07. Possession of weapons,00864,3,2,
2017,3,London,Blackfriars,1. CT (TEW),08. Public order offences,00832,1,1,
2017,3,London,Blackfriars,1. CT (TEW),08. Public order offences,00855,1,1,
2017,3,London,Blackfriars,1. CT (TEW),08. Public order offences,06601,1,1,
2017,3,London,Blackfriars,1. CT (TEW),08. Public order offences,06621,2,2,
2017,3,London,Blackfriars,1. CT (TEW),08. Public order offences,06639,2,2,
2017,3,London,Blackfriars,1. CT (TEW),08. Public order offences,06691,1,1,
2017,3,London,Blackfriars,1. CT (TEW),08. Public order offences,06698,1,1,
2017,3,London,Blackfriars,1. CT (TEW),09. Miscellaneous crimes against society,03801,2,2,
2017,3,London,Blackfriars,1. CT (TEW),09. Miscellaneous crimes against society,03803,5,5,
2017,3,London,Blackfriars,1. CT (TEW),09. Miscellaneous crimes against society,06906,1,1,
2017,3,London,Blackfriars,1. CT (TEW),09. Miscellaneous crimes against society,07810,1,1,
2017,3,London,Blackfriars,1. CT (TEW),09. Miscellaneous crimes against society,07902,3,3,
2017,3,London,Blackfriars,1. CT (TEW),09. Miscellaneous crimes against society,07903,1,1,
2017,3,London,Blackfriars,1. CT (TEW),09. Miscellaneous crimes against society,08602,3,3,
2017,3,London,Blackfriars,1. CT (TEW),09. Miscellaneous crimes against society,09401,1,1,
2017,3,London,Blackfriars,1. CT (TEW),09. Miscellaneous crimes against society,09999,1,1,
2017,3,London,Blackfriars,1. CT (TEW),09. Miscellaneous crimes against society,80200,1,1,
2017,3,London,Blackfriars,1. CT (TEW),10. Fraud Offences,05332,1,1,
2017,3,London,Blackfriars,1. CT (TEW),10. Fraud Offences,05333,2,2,
2017,3,London,Blackfriars,1. CT (TEW),10. Fraud Offences,05340,1,1,
2017,3,London,Blackfriars,1. CT (TEW),10. Fraud Offences,05342,2,2,
2017,3,London,Blackfriars,1. CT (TEW),15. Unknown,,7,7,
2017,3,London,Blackfriars,2. ST (IND),01. Violence against the person,00101,3,3,
2017,3,London,Blackfriars,2. ST (IND),01. Violence against the person,00200,1,1,
2017,3,London,Blackfriars,2. ST (IND),01. Violence against the person,00404,1,1,
2017,3,London,Blackfriars,2. ST (IND),01. Violence against the person,00501,15,15,
2017,3,London,Blackfriars,2. ST (IND),01. Violence against the person,00514,3,3,
2017,3,London,Blackfriars,2. ST (IND),01. Violence against the person,03601,1,1,
2017,3,London,Blackfriars,2. ST (IND),02. Sexual offences,01907,1,1,
2017,3,London,Blackfriars,2. ST (IND),02. Sexual offences,01908,3,3,
2017,3,London,Blackfriars,2. ST (IND),02. Sexual offences,01910,1,1,
2017,3,London,Blackfriars,2. ST (IND),02. Sexual offences,01912,1,1,
2017,3,London,Blackfriars,2. ST (IND),02. Sexual offences,01914,1,1,
2017,3,London,Blackfriars,2. ST (IND),02. Sexual offences,02003,1,1,
2017,3,London,Blackfriars,2. ST (IND),02. Sexual offences,02102,1,1,
2017,3,London,Blackfriars,2. ST (IND),03. Robbery,03401,8,8,
2017,3,London,Blackfriars,2. ST (IND),03. Robbery,03402,-1,-1,
2017,3,London,Blackfriars,2. ST (IND),03. Robbery,03403,4,4,
2017,3,London,Blackfriars,2. ST (IND),04. Theft Offences,02803,6,6,
2017,3,London,Blackfriars,2. ST (IND),04. Theft Offences,02900,1,1,
2017,3,London,Blackfriars,2. ST (IND),04. Theft Offences,03900,2,2,
2017,3,London,Blackfriars,2. ST (IND),04. Theft Offences,04510,1,1,
